1	happy tos rasa jagung bakar	5
2	serena snack	2
3	walls cornetto black and white	2
4	good time mini	3
5	wong coco es bon bon	1
6	ultra milk - minuman susu uht rasa coklat	2
7	floridina minuman rasa buah jeruk	1
8	dua kelinci - kacang garing	1
9	indomie mi instan goreng	4
10	nutrisari orange	1
11	pop mie rasa ayam bawang	5
12	pop mie rasa soto ayam	5
13	pop mie rasa baso	5
14	minuman teh rasa jambu klutuk kemasan botol pet (fruit tea guava)	1
15	minute maid homestyle orange	1
16	teh gelas rasa teh melati (original tea)	1
17	luwak white koffie	2
18	mi boyki rasa sambal goreng	4
19	swallow warna putih	3
20	beng beng	2
21	indomie mi instant rasa soto mie	4
22	indomie mi rasa kari ayam	4
23	dua kelinci tic tac spicy snack	5
24	dua kelinci tic tac snack original flavour	5
25	dua kelinci deka crepes choco banana	3
26	dua kelinci deka crepes choco nut flavor	3
27	indomie mi goreng rasa sate	4
28	dua kelinci deka wafer roll (chocobanana)	3
29	indomie mi rasa ayam bawang	4
30	dua kelinci krip-krip multigrain chips	3
31	dua kelinci mix nut (kacang campur)	5
32	indomie mi rasa ayam special	4
33	kusuka cassava chips (seaweed flavor)	5
34	kusuka cassava chips (black pepper flavor)	4
35	kusuka kripik singkong pedas (cassava chips spicy flavor)	4
36	kusuka cassava chips (original)	5
37	indomie mi goreng rendang	4
38	ot fullo grande (assorted wafer sticks)	2
39	abc sambal extra pedas (extra hot chili sauce)	4
40	kopiko coffee candy	3
41	kopiko cappuccino candy	3
42	singabera premium ginger drink lemongrass ginger	5
43	singabera premium ginger drink cinnamon ginger	5
44	singabera premium ginger drink original ginger	5
45	abc kopi gula & susu	3
46	abc sweet soy sauce kecap manis	1
47	regal marie biscuits	3
48	cocobella coconut water pineapple	1
49	kapal api grande java latte	3
50	marjan fruit punch syrup	1
51	sasa tepung goreng pisang	3
52	riboflavin	4
53	tartrazine	5
54	sunset yellow fcf	5
55	allura red ac	1
56	brilliant blue fcf	2
57	caramel color	3
58	brown ht	2
59	beta carotene	1
60	calcium carbonate	2
61	potassium sorbate	1
62	sodium benzoate	1
63	acetic acid	4
64	ascorbic acid	1
65	tocopherol	4
66	lecithin	2
67	citric acid	1
68	sodium citrate	1
69	agar-agar	3
70	guar gum	4
71	pectin	1
72	sodium carbonate	4
73	potassium carbonate	4
74	silicon dioxide	4
75	monosodium glutamate	4
76	disodium guanylate	4
77	aspartame	5
78	whole corn	5
79	palm oil	5
80	flavour enhacer	5
81	rice	2
82	corn	2
83	dextrose	2
84	vegetable oil	3
85	sugar	1
86	soybean powder	2
87	whey powder	2
88	egg powder	2
89	salt	5
90	water	1
91	wheat flour	3
92	soya lecithin	2
93	chocolate sraying	2
94	skimmed milk powder	2
95	glucose syrup	3
96	maltodextrine	4
97	cocoa powder	2
98	emulsifier	3
99	white chocolate	2
100	milk chocolate	2
101	cream	2
102	carcamine	2
103	choco chips	3
104	margarine	3
105	eggs	3
106	sesame seeds peanuts	3
107	treenuts	3
108	skimmed milk	1
109	natural	1
110	chocolate extract	1
111	chocolate flavour	1
112	fresh milk	2
113	vegetable stabilizer	2
114	chocolate artificial flavor	2
115	orange pulp	1
116	orange concentrate	1
117	orange flavour	1
118	vitamin c	1
119	non diary creamer	2
120	instant coffee	2
121	acidity regulator	5
122	onion	4
123	sesame oil	4
124	pepper powder	5
125	chili	4
126	peanuts	1
127	stabilizer	5
128	chocolate powder	3
129	milk powder	3
130	creamer	3
131	cacao powder	2
132	vegetable emulsifier	5
133	flavour	3
134	dextrosa	2
135	non dairy creamer	2
136	coriander powder	4
137	sweet soy sauce	4
138	tapioca	5
139	garlic	4
140	chili sauce	4
141	tapioca starch	4
142	antioxidant	5
143	yeast extract	4
144	dried vegetable	5
145	onion powder	5
146	garlic powder	5
147	flavor enhancer	5
148	nature identical chicken flavor	3
149	skim milk powder	2
150	natrium benzoat	1
151	cassava	5
152	glucose	2
153	coffee powder	3
154	chili powder	4
155	vanili	2
156	egg	3
157	vegetable fat	2
158	coconut water	1
159	coconut powder	4
160	vegetable creamer	3
161	artificial flavour	4
162	high fructose corn syrup	1
163	fructose syrup	1
164	artificial vanila flavour	3
165	tapioca flour	3
166	disodium inosinate	4
167	orange juice	1
168	nature identical orange flavour	1
169	emulsifier soy lecithin	3
170	preservative sodium benzoate	1
171	butter	3
172	banana powder	3
173	ginger	5
174	soya bean	4
175	natrium citrate	1
176	sodium bicarbonate	3
177	artificial white vanilla fudgee flavour	3
178	black tea	1
179	apple juice concentrate	1
180	synthetic guava flavour	1
181	food colouring beta-carotene ci no 75130	1
182	tea leaves	1
183	jasmine flower	1
184	amonium bicarbonate	2
185	sweet potato	4
186	boyki sambal seasoning powder	4
187	stabilizerand sodium polyphospate	4
188	stabilizer guargum	4
189	cereal	2
190	tbh	4
191	leek chipc	4
192	lime flavor	4
193	herbs candle nut	4
194	artificial chicken flavour	5
195	fried onion	4
196	chilli seasoning	5
197	fenilketonuria	5
198	fenilalanin	5
199	food colour	1
200	full milk	3
201	banana flavor	3
202	peanut paste	3
203	full cream milk	3
204	cassava starch	4
205	spices	5
206	lime powder	4
207	herbs	4
208	banana	3
209	corn starch	3
210	corn flour	3
211	whole wheat flour	3
212	rice flour	3
213	oat flour	3
214	original seasoning	3
215	sunflower see	3
216	peas	5
217	broad bean	5
218	sambal balado seasoning	5
219	food coloring yellow fcc	5
220	food coloring ponceau 4r	5
221	brilliant blue	5
222	cytrus hystrix leaves	5
223	seaweed seasoning	5
224	starches	4
225	black pepper powder	4
226	hydrolyzed vegetable protein	4
227	lacithin	4
228	ciric acid	4
229	seasoning powder	5
230	refined palm oil	4
231	potassium carbonat	4
232	maltodextrin	4
233	pepper	5
234	rice crispy	2
235	soya lecithin emulsifier	2
236	whole egg powder	2
237	artificial vanilla flavor	2
238	raising agent sodium	2
239	hydrogen carbonate	2
240	artifical milk flavor	2
241	natural food color	2
242	caramel class iv	2
243	nature identical strawberry flavor	2
244	cacao mass	2
245	vanilla flavor	2
246	fd&c red 3	2
247	coffee extract	3
248	natural coffee flavour	3
249	vanillin	3
250	spring onion	5
251	celery powder	5
252	cow's flavour	5
253	coconut sugar	5
254	cane sugar	5
255	lemongrass	5
256	cinnamon	5
257	clove	5
258	creamer milk powder	3
259	soybean	1
260	wheat	1
261	leavening	3
262	pineapple juice	1
263	natural pineapple flavour	1
264	mango	1
265	pineapple	1
266	orange	1
267	strawberry juice	1
